Ensembl.ID	Mouse.Brain.RP.R1	Mouse.Brain.RP.R2	Mouse.Brain.RP.R3	Mouse.Liver.RP.R1	Mouse.Liver.RP.R2	Mouse.Liver.RP.R3	Mouse.Testis.RP.R1	Mouse.Testis.RP.R2	Mouse.Testis.RP.R3	Opossum.Brain.RP.R1	Opossum.Brain.RP.R2	Opossum.Brain.RP.R3	Opossum.Liver.RP.R1	Opossum.Liver.RP.R2	Opossum.Liver.RP.R3	Opossum.Testis.RP.R1	Opossum.Testis.RP.R2	Opossum.Testis.RP.R3	Mouse.Brain.TR.R1	Mouse.Brain.TR.R2	Mouse.Brain.TR.R3	Mouse.Liver.TR.R1	Mouse.Liver.TR.R2	Mouse.Liver.TR.R3	Mouse.Testis.TR.R1	Mouse.Testis.TR.R2	Mouse.Testis.TR.R3	Opossum.Brain.TR.R1	Opossum.Brain.TR.R2	Opossum.Brain.TR.R3	Opossum.Liver.TR.R1	Opossum.Liver.TR.R2	Opossum.Liver.TR.R3	Opossum.Testis.TR.R1	Opossum.Testis.TR.R2	Opossum.Testis.TR.R3
ENSMUSG00000026204	118.4284	107.6083	114.8803	0	0	0	0	0.9213	0	160.0448	133.8936	164.5199	0	0	0	0	0	0	89.7796	99.5791	105.1757	0	0	0	0	0	0	155.7288	168.5495	180.8325	0	0	0	0	0	0
ENSMUSG00000037375	0	0	0	1.0804	0.5793	1.9458	2.3563	1.4188	1.3389	1.0298	1.2545	1.16	1.3695	1.767	3.8204	0	0	0	0	0	0	1.836	3.8404	1.7938	2.3392	2.0591	2.714	0.9698	0.3163	0.3694	0.9695	1.2072	2.5639	0	0	0
ENSMUSG00000051864	12.0007	11.7907	11.8162	9.126	11.2733	9.4206	14.0911	12.3037	10.7254	17.1093	19.1967	20.441	31.9875	34.1488	39.4252	13.1126	14.5266	19.4465	19.0793	23.3	21.5365	16.5473	19.2946	17.848	35.9322	45.4937	38.1686	24.2674	33.9118	30.8696	54.234	46.7102	48.8804	51.9507	55.796	53.5221
ENSMUSG00000060716	15.15	8.1551	7.7896	0	0.2094	0.1377	2.097	1.7542	1.6492	4.8923	6.0167	5.7023	0	0	0	16.3112	14.7774	17.4013	18.3255	11.6974	14.2641	0.7466	0.2271	0.6252	1.2135	0.7747	0.7928	9.8453	16.7894	17.078	0	0	0	15.6554	12.7684	15.1869
ENSMUSG00000027546	117.9962	91.3064	97.2552	59.1033	33.958	48.0379	20.0714	15.982	16.4159	78.1939	70.5123	66.8086	26.4752	18.3815	16.9468	25.5501	25.3692	29.1565	255.0409	297.9187	299.9223	110.0726	75.8505	105.3853	69.5345	95.7568	118.6054	59.4637	59.5868	55.3488	26.7613	17.0467	10.693	50.8435	50.6992	51.5815
ENSMUSG00000067578	30.0275	29.7538	24.2331	0	0	0	0	0	0	21.6556	22.053	20.8834	0	0	0	0	0	0	16.9256	14.5586	14.1496	0	0	0	0	0	0	12.4148	15.6326	11.0772	0	0	0	0	0	0
ENSMUSG00000030732	0.1164	0.0311	0.0264	0	0	0	0	0	0	1.6512	0.7476	2.2603	0	0	0	0.0343	0.3492	0.224	0.1869	0.1303	0.2292	0	0	0	0	0	0	3.3287	1.734	2.7597	0	0	0	1.3127	0.9462	0.4854
ENSMUSG00000029461	84.5464	104.7848	109.7122	17.7584	27.1445	22.4567	9.2171	5.8876	6.3562	103.0624	83.4501	111.7166	30.5514	36.918	39.4989	34.2851	28.7528	39.1211	8.6593	10.2692	9.9167	4.5549	1.6168	4.0265	0.496	0.3233	0.5539	52.2725	43.1386	46.3721	15.0337	9.8287	16.9434	7.2439	8.6419	6.2267
ENSMUSG00000026020	52.593	56.1476	61.3104	49.9186	30.8763	46.5792	93.3003	121.4493	136.7175	55.0528	42.6523	44.2632	217.4997	226.3482	382.8646	68.4201	63.7396	50.4924	41.462	30.8371	33.229	28.1921	20.9107	25.4258	95.9183	89.3683	109.4832	46.2995	30.6208	34.582	122.7238	160.8939	244.9431	46.6761	52.0427	48.5348
ENSMUSG00000029686	76.6729	75.9082	90.6781	71.5777	71.8097	94.4718	68.5757	72.4016	86.7429	117.3283	130.733	118.8849	47.7304	48.5728	61.6363	70.7158	73.8716	62.8566	104.4872	96.7485	101.9455	88.1973	92.0073	98.7072	147.2242	165.6217	177.8201	110.8334	101.7615	101.3824	53.9184	58.7956	59.7876	172.9799	183.5987	170.1915
ENSMUSG00000020523	17.1479	14.6622	14.0254	40.0135	38.7424	36.402	31.1143	31.1119	30.5158	17.6385	20.4032	17.6812	14.1668	13.1004	13.3469	41.9566	35.4344	31.8966	23.965	21.8941	21.3989	40.1135	43.6187	39.0165	31.2764	31.7201	31.7834	15.6839	13.1081	15.4875	13.139	13.4927	11.0416	70.88	69.8923	67.8415
ENSMUSG00000020340	199.2747	235.0569	215.5754	2.7376	1.1927	1.0778	4.7377	4.8044	3.9504	211.1383	188.6075	206.2538	0	0	0	2.4535	2.0082	2.1487	207.7084	286.1771	250.0257	2.3924	2.5072	1.6326	3.8095	4.7767	3.9848	171.2855	188.0982	220.7427	0	0	0	1.6585	1.1058	1.8815
ENSMUSG00000015755	4.1814	4.1714	4.748	6.8744	11.475	16.8671	5.0505	5.1451	5.1275	2.4161	3.0118	2.7374	7.8691	9.3496	9.8622	6.4672	6.5021	5.8872	15.5999	13.908	16.2293	46.9202	47.166	57.5081	7.573	5.2871	6.0942	16.3039	14.5534	13.9137	22.6674	18.2716	28.1511	10.0602	13.7914	11.9749
ENSMUSG00000040006	19.3054	15.1414	20.2844	73.9472	91.096	102.5743	55.6563	37.4829	37.7783	4.5664	5.3794	5.1698	51.1163	62.4721	95.269	44.5751	32.3143	31.8472	18.8134	18.6316	19.1223	80.3231	113.9901	77.6042	47.9698	41.8029	44.4087	4.431	7.3235	6.5402	66.7553	73.5381	76.0783	41.9665	36.3638	31.5429
ENSMUSG00000024079	10.3288	9.2095	9.0766	33.2031	40.9938	44.4752	17.5433	17.3915	18.5872	1.6049	1.7796	1.0671	20.977	20.7069	19.6389	0	0	0	8.0958	4.6985	4.8645	28.3846	22.5012	29.0291	15.1602	14.3754	19.3076	4.1033	4.1532	2.1564	22.6093	25.6711	34.4893	0	0	0
ENSMUSG00000032878	13.9628	14.4715	15.8424	0	0	0	0	0	0	26.5426	17.058	24.2471	0	0	0	0	0	0	20.8515	22.0691	23.1209	0	0	0	0	0	0	108.5807	64.9572	79.3981	0	0	0	0	0	0
ENSMUSG00000035528	0	0	0	0	0	0	0	0	0	0	0	0	1.5649	2.7666	1.1755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5381	1.5122	0.7299	0	0	0
ENSMUSG00000026875	0.1994	0.1599	0.2032	1.4644	0	0.2293	1.4847	1.4419	1.9879	0	0	0	0	0	0	1.4111	1.2088	1.2465	0.4268	0.4091	0.3925	1.2441	0	0.3473	5.7794	7.0823	11.2808	0	0	0	0	0	0	2.4599	2.3593	2.3283
ENSMUSG00000075376	15.7845	18.6395	19.8522	3.5055	3.4681	5.6286	7.5868	8.1311	9.7638	16.9818	17.7871	17.3922	6.2958	6.41	3.9999	10.2845	10.1183	10.4552	43.3193	37.9279	39.6564	25.4867	23.4236	23.7227	17.4911	15.443	14.9826	36.3828	33.0782	36.1093	31.1611	27.7723	25.181	23.2682	23.383	24.6653
ENSMUSG00000028669	84.0572	73.5334	81.1649	47.1215	38.3941	35.4346	23.6192	27.8298	26.7051	142.3064	175.8815	161.7922	47.6061	42.5521	41.7096	50.0325	60.4828	47.8712	88.3109	87.5332	93.5049	47.3256	59.0095	48.4799	87.9853	116.6722	128.8733	104.5302	100.1472	95.1842	32.6084	37.2847	32.697	37.0553	43.5574	33.666
ENSMUSG00000028926	53.0812	76.0522	71.5077	0	0	0	5.1175	7.3618	6.9509	85.82	70.0238	72.2082	1.6919	1.7284	1.7233	33.7719	34.2536	32.458	109.5431	122.1153	122.7642	0	0	0	19.0946	29.9462	27.4709	95.2729	95.4418	76.6272	2.1674	1.4844	1.8889	172.77	162.147	135.5838
ENSMUSG00000030880	12.8767	13.229	12.823	11.0476	9.6106	8.5918	14.1128	13.9022	14.7893	14.163	14.0262	16.7763	12.0669	14.0489	12.0826	16.6176	15.5461	19.5388	22.7327	22.3254	22.8565	15.1192	14.145	12.7671	42.5566	46.038	48.6851	24.2473	23.6518	23.4345	12.8952	15.6152	13.5509	23.7522	22.8573	27.8772
ENSMUSG00000028614	9.6661	8.169	9.4757	7.7431	10.0637	10.8271	17.7135	20.8051	21.2047	8.9118	8.3956	8.1156	11.5356	12.7745	12.2514	20.5703	15.55	21.6858	11.9416	9.7733	10.4801	8.8384	9.0985	10.1659	19.9674	22.6377	22.2981	9.5149	12.6072	14.4584	18.3489	16.2414	16.1113	16.7384	17.0621	22.6172
